"partnerDesc","reporterDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag","date","gold_price"
"Germany","South Africa","7108","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","7108","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","710812","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"China, Hong Kong SAR","South Africa","710812","kg",2026,"kg",2026,77539848.489,"b",2017-02-01,39686.82408
"Germany","South Africa","710812","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"China, Hong Kong SAR","South Africa","710812","kg",2026,"kg",2026,77539848.489,"b",2017-02-01,39686.82408
"Germany","South Africa","710812","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","710812","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Ireland","South Africa","7108","kg",2.482,"g",2482,81176.29,"w",2017-02-01,39686.82408
"Italy","South Africa","7108","kg",208,"g",208451,7521933.825,"w",2017-02-01,39686.82408
"Mauritius","South Africa","7108",NA,NA,NA,NA,430655.204,NA,2017-02-01,39686.82408
"Ireland","South Africa","710812","kg",2.29,"g",2290,68549.434,"w",2017-02-01,39686.82408
"Italy","South Africa","710812","kg",208,"g",208451,7521933.825,"w",2017-02-01,39686.82408
"Mauritius","South Africa","710812",NA,NA,NA,NA,430655.204,NA,2017-02-01,39686.82408
"Ireland","South Africa","710813","kg",0.192,"g",192,12626.855,"w",2017-02-01,39686.82408
"Poland","South Africa","7108","kg",13,"g",12631,485038,"w",2017-02-01,39686.82408
"Saudi Arabia","South Africa","7108","kg",1000,"kg",1000,39082182.186,NA,2017-02-01,39686.82408
"Saudi Arabia","South Africa","710812","kg",1000,"kg",1000,39082182.186,NA,2017-02-01,39686.82408
"Poland","South Africa","710813","kg",13,"g",12631,485038,"w",2017-02-01,39686.82408
"India","South Africa","7108","kg",7350,"kg",7350,294823481.234,"b",2017-02-01,39686.82408
"India","South Africa","710812","kg",7350,"kg",7350,294823481.234,"b",2017-02-01,39686.82408
"United Arab Emirates","Kenya","7108","kg",209.41,"kg",209.41,7082376.135,NA,2017-02-01,39686.82408
"United Arab Emirates","Kenya","710812","kg",207.01,"kg",207.01,7002615.221,NA,2017-02-01,39686.82408
"United Arab Emirates","Kenya","710813","kg",2.4,"kg",2.4,79760.914,NA,2017-02-01,39686.82408
"Eswatini","South Africa","7108","kg",0.003,NA,NA,122.208,NA,2017-02-01,39686.82408
"Switzerland","South Africa","7108","kg",1321,"kg",1321,44588343.756,"w",2017-02-01,39686.82408
"United Arab Emirates","South Africa","7108","kg",420.45,"kg",420.45,13673007.54,NA,2017-02-01,39686.82408
"Switzerland","South Africa","7108","kg",1321,"kg",1321,44588343.756,"w",2017-02-01,39686.82408
"Eswatini","South Africa","7108","kg",0.003,NA,NA,122.208,NA,2017-02-01,39686.82408
"Switzerland","South Africa","7108","kg",1321,"kg",1321,44588343.756,"w",2017-02-01,39686.82408
"Switzerland","South Africa","7108","kg",1321,"kg",1321,44588343.756,"w",2017-02-01,39686.82408
"United Arab Emirates","South Africa","710811","kg",0.03,"kg",0.03,609.778,NA,2017-02-01,39686.82408
"Eswatini","South Africa","710812","kg",0.003,NA,NA,122.208,NA,2017-02-01,39686.82408
"Switzerland","South Africa","710812","kg",1321,"kg",1321,44588343.756,"w",2017-02-01,39686.82408
"United Arab Emirates","South Africa","710812","kg",420.42,"kg",420.42,13672397.762,NA,2017-02-01,39686.82408
"Switzerland","South Africa","710812","kg",1321,"kg",1321,44588343.756,"w",2017-02-01,39686.82408
"Eswatini","South Africa","710812","kg",0.003,NA,NA,122.208,NA,2017-02-01,39686.82408
"Switzerland","South Africa","710812","kg",1321,"kg",1321,44588343.756,"w",2017-02-01,39686.82408
"Switzerland","South Africa","710812","kg",1321,"kg",1321,44588343.756,"w",2017-02-01,39686.82408
"United Kingdom","South Africa","7108","kg",7183.68,"g",7183680,286516475.084,"w",2017-02-01,39686.82408
"USA","South Africa","7108","kg",0.342,"g",342,14637,"w",2017-02-01,39686.82408
"United Kingdom","South Africa","7108","kg",7183.68,"g",7183680,286516475.084,"w",2017-02-01,39686.82408
"USA","South Africa","710812","kg",0.342,"g",342,14637,"w",2017-02-01,39686.82408
"United Kingdom","South Africa","710813","kg",7183.68,"g",7183680,286516475.084,"w",2017-02-01,39686.82408
"United Kingdom","South Africa","710813","kg",7183.68,"g",7183680,286516475.084,"w",2017-02-01,39686.82408
"Canada","South Africa","7108","kg",149.259,"g",149259,5725020.977,"w",2017-02-01,39686.82408
"Canada","South Africa","7108","kg",149.259,"g",149259,5725020.977,"w",2017-02-01,39686.82408
"Canada","South Africa","710812","kg",149.259,"g",149259,5725020.977,"w",2017-02-01,39686.82408
"Canada","South Africa","710812","kg",149.259,"g",149259,5725020.977,"w",2017-02-01,39686.82408
"United Kingdom","South Africa","7108","kg",7183.68,"g",7183680,286516475.084,"w",2017-02-01,39686.82408
"United Kingdom","South Africa","7108","kg",7183.68,"g",7183680,286516475.084,"w",2017-02-01,39686.82408
"United Kingdom","South Africa","710813","kg",7183.68,"g",7183680,286516475.084,"w",2017-02-01,39686.82408
"United Kingdom","South Africa","710813","kg",7183.68,"g",7183680,286516475.084,"w",2017-02-01,39686.82408
"Canada","South Africa","7108","kg",0.23,"g",230,9978.816,"w",2017-02-01,39686.82408
"Canada","South Africa","7108","kg",0.23,"g",230,9978.816,"w",2017-02-01,39686.82408
"Canada","South Africa","710812","kg",0.23,"g",230,9978.816,"w",2017-02-01,39686.82408
"Canada","South Africa","710812","kg",0.23,"g",230,9978.816,"w",2017-02-01,39686.82408
"Germany","South Africa","7108","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","7108","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","7108","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","7108","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
