typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,150478.921,true,-1,N/A,0,false,150478.921,true,0,false,0,5407908644.095,5407908644.095,6,false,true
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,161.601,true,-1,N/A,0,false,161.601,true,0,false,0,173461.706,173461.706,6,false,true
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,899,_X ,"Areas, nes",0,W00,World,H5,HS,true,710813,"Metals; gold, semi-manufactured",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,150317.32,false,-1,N/A,0,false,150317.32,false,0,false,0,5407735182.389,5407735182.389,0,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,0,W00,World,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14315.32,false,15,g,14310134,false,,false,0,false,,11640159.989,11640159.989,0,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,124,CAN,Canada,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,1000,false,1,false,0,false,,37828.033,37828.033,0,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7,false,15,g,7000,false,7,false,0,false,,281538.32,281538.32,0,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,410,KOR,Rep. of Korea,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,214,false,1,false,0,false,,7483.969,7483.969,0,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,634,QAT,Qatar,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2,false,15,g,2000,false,2,false,0,false,,93656.013,93656.013,0,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,710,ZAF,South Africa,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,181.386,false,15,g,181386,false,,false,0,false,,6308281.88,6308281.88,0,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,757,CHE,Switzerland,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,14113.934,false,15,g,14113934,false,14113.934,false,0,false,,4788426.868,4788426.868,0,false,true
