"date","reporterDesc","partnerDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag"
2021-01-01,"Kenya","Dem. Rep. of the Congo",710813,NA,NA,"g",3223000,136861.266,NA
2021-01-01,"Kenya","China, Hong Kong SAR",710813,NA,NA,"g",1008210,49153.704,"b"
2021-01-01,"Kenya","South Africa",710813,"kg",180.237,"g",33250855.3,8693596.979,"b"
2021-01-01,"Kenya","Switzerland",710813,"kg",134.656,"g",55657232,5986598.55,"w"
2021-01-01,"South Africa","Botswana",710813,NA,NA,"kg",121.95,173.02,NA
2021-01-01,"South Africa","Namibia",710813,"kg",54.534,"kg",213.89,93250.559,NA
2021-01-01,"South Africa","Areas, nes",710813,"kg",127556.72,"kg",127556.72,7307446575.796,NA
2021-01-01,"Kenya","Cameroon",710812,"kg",1,"g",1000,63215.519,NA
2021-01-01,"Kenya","Germany",710812,"kg",1,"g",1000,1856.938,"w"
2021-01-01,"Kenya","China, Hong Kong SAR",710812,"kg",5,"g",5000,206317.873,"b"
2021-01-01,"Kenya","United Arab Emirates",710812,"kg",7.987,"g",7987.2,324526.26,NA
2021-01-01,"Kenya","USA",710812,"kg",0.254,"g",254,11425.563,"w"
2021-01-01,"South Africa","Namibia",710812,"kg",7.003,"kg",19,57669.975,NA
2021-01-01,"South Africa","Eswatini",710812,NA,NA,"kg",71,93.445,NA
2022-01-01,"Kenya","Germany",7108,"kg",0.266,"g",266.3,13124.206,"w"
2022-01-01,"Kenya","China, Hong Kong SAR",7108,"kg",1,"g",1000,56737.956,"b"
2022-01-01,"Kenya","Italy",7108,"kg",1,"g",1000,47961.199,"w"
2022-01-01,"Kenya","Rep. of Korea",7108,"kg",11,"g",11000,629976.494,"w"
2022-01-01,"Kenya","Nigeria",7108,"kg",1,"g",1000,55236.017,NA
2022-01-01,"Kenya","Paraguay",7108,"kg",0.5,"g",500,453.732,NA
2022-01-01,"Kenya","Slovenia",7108,"kg",0.156,"g",155.6,8370.134,"w"
2022-01-01,"Kenya","South Africa",7108,"kg",492.912,"g",492911.6,24133432.622,"b"
