"date","partnerDesc","reporterDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag"
2018-01-01,"China","South Africa",710812,"kg",136762.41,"g",136762410,5695518531,"b"
2018-01-01,"Czechia","South Africa",710812,"kg",2,"g",2400,102693,"w"
2018-01-01,"China","South Africa",710813,"kg",62464.13,"g",62464130,2755494841,"b"
2018-01-01,"Czechia","South Africa",710813,"kg",0.181,"g",181,7231,"w"
2018-01-01,"Germany","South Africa",7108,"kg",122,"g",121231,4939728.341,"w"
2018-01-01,"China, Hong Kong SAR","South Africa",7108,"kg",36916,"kg",36916,1505378251.737,"b"
2018-01-01,"Germany","South Africa",710812,"kg",122,"g",121231,4939728.341,"w"
2018-01-01,"China, Hong Kong SAR","South Africa",710812,"kg",36916,"kg",36916,1505378251.737,"b"
2018-01-01,"Rep. of Korea","Kenya",7108,"kg",0.21,"kg",0.21,7525,"w"
2018-01-01,"Rep. of Korea","Kenya",710813,"kg",0.21,"kg",0.21,7525,"w"
2018-01-01,"Indonesia","South Africa",7108,"kg",349,"kg",349,23311487,NA
2018-01-01,"Ireland","South Africa",7108,"kg",5.534,"g",5534,183843.833,"w"
2018-01-01,"Italy","South Africa",7108,"kg",10305,"g",10305300,360940159.175,"w"
2018-01-01,"China, Macao SAR","South Africa",7108,"kg",8,"kg",8,326517.506,NA
2018-01-01,"Mauritius","South Africa",7108,"kg",69,"kg",69,2476539.984,NA
2018-01-01,"Indonesia","South Africa",710812,"kg",349,"kg",349,23311487,NA
2018-01-01,"Italy","South Africa",710812,"kg",10305,"g",10305300,360940159.175,"w"
2018-01-01,"Mauritius","South Africa",710812,"kg",61,"kg",61,2473483.081,NA
2018-01-01,"Ireland","South Africa",710813,"kg",5.534,"g",5534,183843.833,"w"
2018-01-01,"China, Macao SAR","South Africa",710813,"kg",8,"kg",8,326517.506,NA
2018-01-01,"Mauritius","South Africa",710813,"kg",8,"kg",8,3056.903,NA
2018-01-01,"Nepal","Kenya",7108,"kg",1,"kg",1,1369.33,NA
2018-01-01,"Netherlands","Kenya",7108,"kg",4.608,"g",4608,113431.258,"w"
2018-01-01,"Nepal","Kenya",710813,"kg",1,"kg",1,1369.33,NA
2018-01-01,"Netherlands","Kenya",710813,"kg",4.608,"g",4608,113431.258,"w"
2018-01-01,"Other Asia, nes","South Africa",7108,"kg",11,"kg",11,455698.66,NA
2018-01-01,"Namibia","South Africa",7108,"kg",0.069,NA,NA,2689.396,NA
2018-01-01,"Netherlands","South Africa",7108,"kg",0.58,"g",580,26255.191,"w"
2018-01-01,"Norway","South Africa",7108,"kg",22,"kg",22,956983.042,"w"
2018-01-01,"Poland","South Africa",7108,"kg",16,"g",16125,698457,"w"
2018-01-01,"Saudi Arabia","South Africa",7108,"kg",3500,"kg",3500,143704786.763,NA
2018-01-01,"Other Asia, nes","South Africa",710812,"kg",11,"kg",11,455698.66,NA
2018-01-01,"Namibia","South Africa",710812,"kg",0.057,NA,NA,2205.834,NA
2018-01-01,"Saudi Arabia","South Africa",710812,"kg",3500,"kg",3500,143704786.763,NA
2018-01-01,"Namibia","South Africa",710813,"kg",0.012,NA,NA,483.562,NA
2018-01-01,"Netherlands","South Africa",710813,"kg",0.58,"g",580,26255.191,"w"
2018-01-01,"Norway","South Africa",710813,"kg",22,"kg",22,956983.042,"w"
2018-01-01,"Poland","South Africa",710813,"kg",16,"g",16125,698457,"w"
2018-01-01,"India","South Africa",7108,"kg",25675,"kg",25675,1046427062.787,"b"
2018-01-01,"Singapore","South Africa",7108,"kg",4609,NA,NA,184969566.744,NA
2018-01-01,"Slovakia","South Africa",7108,"kg",0.099,"g",99,4028.234,"w"
2018-01-01,"India","South Africa",710812,"kg",25675,"kg",25675,1046427062.787,"b"
2018-01-01,"Singapore","South Africa",710812,"kg",49,NA,NA,2022119.324,NA
2018-01-01,"Slovakia","South Africa",710812,"kg",0.099,"g",99,4028.234,"w"
2018-01-01,"Singapore","South Africa",710813,"kg",4560,NA,NA,182947447.42,NA
2018-01-01,"Switzerland","Kenya",7108,"kg",193,"kg",193,5543274.003,"w"
2018-01-01,"United Arab Emirates","Kenya",7108,"kg",3242.66,"kg",3242.66,111136383.766,NA
2018-01-01,"United Arab Emirates","Kenya",710811,"kg",0.1,"kg",0.1,3250.042,NA
2018-01-01,"Switzerland","Kenya",710812,"kg",193,"kg",193,5543274.003,"w"
2018-01-01,"United Arab Emirates","Kenya",710812,"kg",3242.56,"kg",3242.56,111133133.723,NA
2018-01-01,"Eswatini","South Africa",7108,"kg",0.011,NA,NA,437.08,NA
2018-01-01,"Switzerland","South Africa",7108,"kg",46158,"kg",46158,1614569042.971,"w"
