"refYear","reporterDesc","partnerDesc","cmdCode","qty","altQty","primaryValue"
2022,"Kenya","South Africa",7108,492.912,492911.6,24133432.622
2022,"Kenya","Spain",7108,1,1000,53166.738
2022,"Kenya","Switzerland",7108,79.234,79234,3592842.906
2022,"Kenya","United Arab Emirates",7108,81.297,81297,3335713.621
2022,"Kenya","Turkey",7108,0.036,36.1,2053.614
2022,"Kenya","United Kingdom",7108,0.835,834.8,395015.87
2022,"Kenya","USA",7108,1.926,1926,113324.74
2022,"Kenya","World",710812,26.475,26475,1394898.938
2022,"Kenya","Germany",710812,0.266,266.3,13124.206
2022,"Kenya","China, Hong Kong SAR",710812,1,1000,56737.956
2022,"Kenya","Italy",710812,1,1000,47961.199
2022,"Kenya","Rep. of Korea",710812,11,11000,629976.494
2022,"Kenya","Nigeria",710812,1,1000,55236.017
2022,"Kenya","Paraguay",710812,0.5,500,453.732
2022,"Kenya","Slovenia",710812,0.156,155.6,8370.134
2022,"Kenya","Spain",710812,1,1000,53166.738
2022,"Kenya","United Arab Emirates",710812,8.591,8591,414494.11
2022,"Kenya","Turkey",710812,0.036,36.1,2053.614
2022,"Kenya","USA",710812,1.926,1926,113324.74
2022,"Kenya","World",710813,645.686,645686.4,31042510.909
2022,"Kenya","South Africa",710813,492.912,492911.6,24133432.622
2022,"Kenya","Switzerland",710813,79.234,79234,3592842.906
2022,"Kenya","United Arab Emirates",710813,72.706,72706,2921219.511
2022,"Kenya","United Kingdom",710813,0.835,834.8,395015.87
2022,"South Africa","World",7108,0,0,5264910501.442
2022,"South Africa","Botswana",7108,0,0,471.574
2022,"South Africa","Namibia",7108,61.97,0,176583.813
2022,"South Africa","Eswatini",7108,0,0,189.473
2022,"South Africa","Areas, nes",7108,91406.58,91406.58,5264733256.581
2022,"South Africa","World",710811,0,74.02,146769.288
2022,"South Africa","Botswana",710811,0,20,349.661
2022,"South Africa","Namibia",710811,0,54.02,146419.628
2022,"South Africa","World",710812,0,456.78,12767.784
2022,"South Africa","Botswana",710812,0,450,121.914
2022,"South Africa","Namibia",710812,1.78,1.78,12571.157
2022,"South Africa","Eswatini",710812,0,5,74.713
2022,"South Africa","World",710813,0,91428.94,5264750964.37
2022,"South Africa","Namibia",710813,8.17,8.17,17593.029
2022,"South Africa","Eswatini",710813,0,14.19,114.76
2022,"South Africa","Areas, nes",710813,91406.58,91406.58,5264733256.581
2023,"Kenya","World",7108,0,0,33469053.043
2023,"Kenya","China",7108,0,0,225209.284
2023,"Kenya","China, Hong Kong SAR",7108,25,25000,1028922.779
